Source,Year,Series,Target,Value
Antigua and Barbuda,2015,Major trading partner 3 (% of exports),Netherlands,0.9
Antigua and Barbuda,2020,Major trading partner 3 (% of exports),Netherlands,7.6
Antigua and Barbuda,2010,Major trading partner 3 (% of imports),Japan,2.7
Antigua and Barbuda,2015,Major trading partner 3 (% of imports),Japan,3.4
Antigua and Barbuda,2020,Major trading partner 3 (% of imports),Japan,4.4
Argentina,2010,Major trading partner 1 (% of exports),Brazil,21.2
Argentina,2015,Major trading partner 1 (% of exports),Brazil,17.8
Argentina,2020,Major trading partner 1 (% of exports),Brazil,14.5
Argentina,2010,Major trading partner 1 (% of imports),China,13.5
Argentina,2015,Major trading partner 1 (% of imports),China,19.6
Argentina,2020,Major trading partner 1 (% of imports),China,20.4
Argentina,2010,Major trading partner 2 (% of exports),China,8.5
Argentina,2015,Major trading partner 2 (% of exports),China,9.1
Argentina,2020,Major trading partner 2 (% of exports),China,9.6
Argentina,2010,Major trading partner 2 (% of imports),Brazil,32.5
Argentina,2015,Major trading partner 2 (% of imports),Brazil,21.7
Argentina,2020,Major trading partner 2 (% of imports),Brazil,20.4
Argentina,2010,Major trading partner 3 (% of exports),United States,5.4
Argentina,2015,Major trading partner 3 (% of exports),United States,6.7
Argentina,2020,Major trading partner 3 (% of exports),United States,6
Argentina,2010,Major trading partner 3 (% of imports),United States,11.8
Argentina,2015,Major trading partner 3 (% of imports),United States,13.6
Argentina,2020,Major trading partner 3 (% of imports),United States,10.4
Armenia,2010,Major trading partner 1 (% of exports),Russian Federation,17.5
Armenia,2015,Major trading partner 1 (% of exports),Russian Federation,15.2
Armenia,2020,Major trading partner 1 (% of exports),Russian Federation,26
Armenia,2010,Major trading partner 1 (% of imports),Russian Federation,22
Armenia,2015,Major trading partner 1 (% of imports),Russian Federation,30.4
Armenia,2020,Major trading partner 1 (% of imports),Russian Federation,32.6
Armenia,2010,Major trading partner 2 (% of exports),Switzerland,1.7
Armenia,2015,Major trading partner 2 (% of exports),Switzerland,2.8
Armenia,2020,Major trading partner 2 (% of exports),Switzerland,18.5
Armenia,2010,Major trading partner 2 (% of imports),China,10.6
Armenia,2015,Major trading partner 2 (% of imports),China,9.7
Armenia,2020,Major trading partner 2 (% of imports),China,14.8
Armenia,2010,Major trading partner 3 (% of exports),China,3.1
Armenia,2015,Major trading partner 3 (% of exports),China,11.1
Armenia,2020,Major trading partner 3 (% of exports),China,11.5
Armenia,2010,Major trading partner 3 (% of imports),Iran,5.8
Armenia,2015,Major trading partner 3 (% of imports),Iran,6.1
Armenia,2020,Major trading partner 3 (% of imports),Iran,6.9
Aruba,2010,Major trading partner 1 (% of exports),Areas nes,3
Aruba,2015,Major trading partner 1 (% of exports),Areas nes,14.2
Aruba,2020,Major trading partner 1 (% of exports),Areas nes,65.9
Aruba,2010,Major trading partner 1 (% of imports),United States,50
Aruba,2015,Major trading partner 1 (% of imports),United States,54.4
Aruba,2020,Major trading partner 1 (% of imports),United States,46.7
Aruba,2010,Major trading partner 2 (% of exports),Colombia,27.2
Aruba,2015,Major trading partner 2 (% of exports),Colombia,27.4
Aruba,2020,Major trading partner 2 (% of exports),Colombia,14
Aruba,2010,Major trading partner 2 (% of imports),Areas nes,2
Aruba,2015,Major trading partner 2 (% of imports),Areas nes,13.9
Aruba,2020,Major trading partner 2 (% of imports),Areas nes,26
Aruba,2010,Major trading partner 3 (% of exports),Venezuela (Bol. Rep.),15
Aruba,2015,Major trading partner 3 (% of exports),Venezuela (Bol. Rep.),6.1
Aruba,2020,Major trading partner 3 (% of exports),Venezuela (Bol. Rep.),10.7
Aruba,2010,Major trading partner 3 (% of imports),Netherlands,11.3
Aruba,2015,Major trading partner 3 (% of imports),Netherlands,10.4
Aruba,2020,Major trading partner 3 (% of imports),Netherlands,13.5
Australia,2010,Major trading partner 1 (% of exports),China,25.4
Australia,2015,Major trading partner 1 (% of exports),China,31.9
Australia,2020,Major trading partner 1 (% of exports),China,40.8
Australia,2010,Major trading partner 1 (% of imports),China,18.7
Australia,2015,Major trading partner 1 (% of imports),China,23
Australia,2020,Major trading partner 1 (% of imports),China,28.8
Australia,2010,Major trading partner 2 (% of exports),Japan,18.5
Australia,2015,Major trading partner 2 (% of exports),Japan,15.9
Australia,2020,Major trading partner 2 (% of exports),Japan,12.4
Australia,2010,Major trading partner 2 (% of imports),United States,12.4
Australia,2015,Major trading partner 2 (% of imports),United States,12.8
Australia,2020,Major trading partner 2 (% of imports),United States,11.9
Australia,2010,Major trading partner 3 (% of exports),Republic of Korea,8.6
Australia,2015,Major trading partner 3 (% of exports),Republic of Korea,7.2
Australia,2020,Major trading partner 3 (% of exports),Republic of Korea,6.5
Australia,2010,Major trading partner 3 (% of imports),Japan,8.7
Australia,2015,Major trading partner 3 (% of imports),Japan,7.5
Australia,2020,Major trading partner 3 (% of imports),Japan,6
Austria,2010,Major trading partner 1 (% of exports),Germany,31
Austria,2015,Major trading partner 1 (% of exports),Germany,29.5
Austria,2020,Major trading partner 1 (% of exports),Germany,29.2
Austria,2010,Major trading partner 1 (% of imports),Germany,38.7
Austria,2015,Major trading partner 1 (% of imports),Germany,36.4
Austria,2020,Major trading partner 1 (% of imports),Germany,34.7
Austria,2010,Major trading partner 2 (% of exports),United States,4.4
Austria,2015,Major trading partner 2 (% of exports),United States,6.7
Austria,2020,Major trading partner 2 (% of exports),United States,6.6
Austria,2010,Major trading partner 2 (% of imports),Italy,6.6
Austria,2015,Major trading partner 2 (% of imports),Italy,6
Austria,2020,Major trading partner 2 (% of imports),Italy,6.6
Austria,2010,Major trading partner 3 (% of exports),Italy,7.7
Austria,2015,Major trading partner 3 (% of exports),Italy,6.2
Austria,2020,Major trading partner 3 (% of exports),Italy,6.3
Austria,2010,Major trading partner 3 (% of imports),China,4.7
Austria,2015,Major trading partner 3 (% of imports),China,5.9
Austria,2020,Major trading partner 3 (% of imports),China,6.2
Azerbaijan,2010,Major trading partner 1 (% of exports),Italy,33.1
Azerbaijan,2015,Major trading partner 1 (% of exports),Italy,17.8
Azerbaijan,2020,Major trading partner 1 (% of exports),Italy,30.4
Azerbaijan,2010,Major trading partner 1 (% of imports),Russian Federation,17.4
Azerbaijan,2015,Major trading partner 1 (% of imports),Russian Federation,15.6
Azerbaijan,2020,Major trading partner 1 (% of imports),Russian Federation,18.3
Azerbaijan,2010,Major trading partner 2 (% of exports),Turkey,0.8
Azerbaijan,2015,Major trading partner 2 (% of exports),Turkey,11.7
Azerbaijan,2020,Major trading partner 2 (% of exports),Turkey,18.9
Azerbaijan,2010,Major trading partner 2 (% of imports),Turkey,11.7
Azerbaijan,2015,Major trading partner 2 (% of imports),Turkey,12.6
Azerbaijan,2020,Major trading partner 2 (% of imports),Turkey,14.6
Azerbaijan,2010,Major trading partner 3 (% of exports),Russian Federation,3.6
Azerbaijan,2015,Major trading partner 3 (% of exports),Russian Federation,3.3
Azerbaijan,2020,Major trading partner 3 (% of exports),Russian Federation,5.2
Azerbaijan,2010,Major trading partner 3 (% of imports),China,8.9
Azerbaijan,2015,Major trading partner 3 (% of imports),China,5.6
Azerbaijan,2020,Major trading partner 3 (% of imports),China,13.2
Bahamas,2010,Major trading partner 1 (% of exports),United States,76
Bahamas,2015,Major trading partner 1 (% of exports),United States,83.1
Bahamas,2020,Major trading partner 1 (% of exports),United States,74.7
Bahamas,2010,Major trading partner 1 (% of imports),United States,90.9
Bahamas,2015,Major trading partner 1 (% of imports),United States,81.9
Bahamas,2020,Major trading partner 1 (% of imports),United States,83.9
Bahamas,2015,Major trading partner 2 (% of exports),Ireland,0.2
Bahamas,2020,Major trading partner 2 (% of exports),Ireland,5.5
Bahamas,2010,Major trading partner 2 (% of imports),Areas nes,0.8
Bahamas,2015,Major trading partner 2 (% of imports),Areas nes,3
Bahamas,2020,Major trading partner 2 (% of imports),Areas nes,3.5
Bahamas,2010,Major trading partner 3 (% of exports),Panama,0.7
Bahamas,2015,Major trading partner 3 (% of exports),Panama,0.3
Bahamas,2020,Major trading partner 3 (% of exports),Panama,5.4
Bahamas,2010,Major trading partner 3 (% of imports),China,0
Bahamas,2015,Major trading partner 3 (% of imports),China,0.8
Bahamas,2020,Major trading partner 3 (% of imports),China,1.5
Bahrain,2010,Major trading partner 1 (% of exports),Areas nes,0
Bahrain,2015,Major trading partner 1 (% of exports),Areas nes,0
Bahrain,2020,Major trading partner 1 (% of exports),Areas nes,48.1
Bahrain,2010,Major trading partner 1 (% of imports),Saudi Arabia,3
Bahrain,2015,Major trading partner 1 (% of imports),Saudi Arabia,28.7
Bahrain,2020,Major trading partner 1 (% of imports),Saudi Arabia,33.1
Bahrain,2010,Major trading partner 2 (% of exports),Saudi Arabia,7.2
Bahrain,2015,Major trading partner 2 (% of exports),Saudi Arabia,66.9
Bahrain,2020,Major trading partner 2 (% of exports),Saudi Arabia,13.3
Bahrain,2010,Major trading partner 2 (% of imports),China,7.4
Bahrain,2015,Major trading partner 2 (% of imports),China,9.6
Bahrain,2020,Major trading partner 2 (% of imports),China,9.1
Bahrain,2010,Major trading partner 3 (% of exports),United Arab Emirates,2.7
Bahrain,2015,Major trading partner 3 (% of exports),United Arab Emirates,6.9
Bahrain,2020,Major trading partner 3 (% of exports),United Arab Emirates,6.1
Bahrain,2010,Major trading partner 3 (% of imports),United Arab Emirates,2.3
Bahrain,2015,Major trading partner 3 (% of imports),United Arab Emirates,6.9
Bahrain,2020,Major trading partner 3 (% of imports),United Arab Emirates,6.4
Bangladesh,2010,Major trading partner 1 (% of exports),Germany,13.8
Bangladesh,2015,Major trading partner 1 (% of exports),Germany,14.7
Bangladesh,2020,Major trading partner 1 (% of exports),Germany,15.7
Bangladesh,2010,Major trading partner 1 (% of imports),China,17.5
Bangladesh,2015,Major trading partner 1 (% of imports),China,21.5
Bangladesh,2020,Major trading partner 1 (% of imports),China,29.4
Bangladesh,2010,Major trading partner 2 (% of exports),United States,24.3
Bangladesh,2015,Major trading partner 2 (% of exports),United States,19.3
Bangladesh,2020,Major trading partner 2 (% of exports),United States,15.1
Bangladesh,2010,Major trading partner 2 (% of imports),India,11.5
Bangladesh,2015,Major trading partner 2 (% of imports),India,12.2
Bangladesh,2020,Major trading partner 2 (% of imports),India,15.4
Bangladesh,2010,Major trading partner 3 (% of exports),United Kingdom,8.9
Bangladesh,2015,Major trading partner 3 (% of exports),United Kingdom,11
Bangladesh,2020,Major trading partner 3 (% of exports),United Kingdom,7.3
Bangladesh,2010,Major trading partner 3 (% of imports),Singapore,5.4
Bangladesh,2015,Major trading partner 3 (% of imports),Singapore,9.2
Bangladesh,2020,Major trading partner 3 (% of imports),Singapore,5.5
Barbados,2015,Major trading partner 1 (% of exports),Areas nes,15.7
Barbados,2020,Major trading partner 1 (% of exports),Areas nes,23.5
Barbados,2010,Major trading partner 1 (% of imports),United States,43.9
Barbados,2015,Major trading partner 1 (% of imports),United States,39.2
Barbados,2020,Major trading partner 1 (% of imports),United States,42.6
Barbados,2010,Major trading partner 2 (% of exports),United States,24.9
Barbados,2015,Major trading partner 2 (% of exports),United States,32.6
Barbados,2020,Major trading partner 2 (% of exports),United States,13.3
Barbados,2010,Major trading partner 2 (% of imports),Trinidad and Tobago,7.2
Barbados,2015,Major trading partner 2 (% of imports),Trinidad and Tobago,15.8
Barbados,2020,Major trading partner 2 (% of imports),Trinidad and Tobago,13.8
Barbados,2010,Major trading partner 3 (% of exports),Jamaica,5.6
Barbados,2015,Major trading partner 3 (% of exports),Jamaica,4.6
Barbados,2020,Major trading partner 3 (% of exports),Jamaica,8.2
Barbados,2010,Major trading partner 3 (% of imports),Netherlands,1.1
Barbados,2015,Major trading partner 3 (% of imports),Netherlands,1.5
Barbados,2020,Major trading partner 3 (% of imports),Netherlands,5.5
Belarus,2010,Major trading partner 1 (% of exports),Russian Federation,39.4
Belarus,2015,Major trading partner 1 (% of exports),Russian Federation,38.6
Belarus,2020,Major trading partner 1 (% of exports),Russian Federation,41.3
Belarus,2010,Major trading partner 1 (% of imports),Russian Federation,55.8
Belarus,2015,Major trading partner 1 (% of imports),Russian Federation,55.8
Belarus,2020,Major trading partner 1 (% of imports),Russian Federation,54.8
Belarus,2010,Major trading partner 2 (% of exports),Ukraine,10.1
Belarus,2015,Major trading partner 2 (% of exports),Ukraine,9.4
Belarus,2020,Major trading partner 2 (% of exports),Ukraine,12.6
Belarus,2010,Major trading partner 2 (% of imports),China,4.6
Belarus,2015,Major trading partner 2 (% of imports),China,7.7
Belarus,2020,Major trading partner 2 (% of imports),China,9.3
Belarus,2010,Major trading partner 3 (% of exports),United Kingdom,3.7
Belarus,2015,Major trading partner 3 (% of exports),United Kingdom,11
Belarus,2020,Major trading partner 3 (% of exports),United Kingdom,7
Belarus,2010,Major trading partner 3 (% of imports),Germany,6.8
Belarus,2015,Major trading partner 3 (% of imports),Germany,4.6
Belarus,2020,Major trading partner 3 (% of imports),Germany,4.5
Belgium,2010,Major trading partner 1 (% of exports),Germany,18.6
Belgium,2015,Major trading partner 1 (% of exports),Germany,16.8
Belgium,2020,Major trading partner 1 (% of exports),Germany,16.6
Belgium,2010,Major trading partner 1 (% of imports),Netherlands,18.6
Belgium,2015,Major trading partner 1 (% of imports),Netherlands,16.7
Belgium,2020,Major trading partner 1 (% of imports),Netherlands,19
Belgium,2010,Major trading partner 2 (% of exports),France,16.6
Belgium,2015,Major trading partner 2 (% of exports),France,15.4
Belgium,2020,Major trading partner 2 (% of exports),France,13.2
Belgium,2010,Major trading partner 2 (% of imports),Germany,16.1
Belgium,2015,Major trading partner 2 (% of imports),Germany,12.7
Belgium,2020,Major trading partner 2 (% of imports),Germany,14.4
Belgium,2010,Major trading partner 3 (% of exports),Netherlands,11.9
Belgium,2015,Major trading partner 3 (% of exports),Netherlands,11.4
Belgium,2020,Major trading partner 3 (% of exports),Netherlands,11.6
Belgium,2010,Major trading partner 3 (% of imports),France,11
Belgium,2015,Major trading partner 3 (% of imports),France,9.5
Belgium,2020,Major trading partner 3 (% of imports),France,11.2
Belize,2010,Major trading partner 1 (% of exports),United Kingdom,26.1
Belize,2015,Major trading partner 1 (% of exports),United Kingdom,26.1
Belize,2020,Major trading partner 1 (% of exports),United Kingdom,29.6
Belize,2010,Major trading partner 1 (% of imports),United States,47.9
Belize,2015,Major trading partner 1 (% of imports),United States,34.4
Belize,2020,Major trading partner 1 (% of imports),United States,40.5
Belize,2010,Major trading partner 2 (% of exports),United States,49.1
Belize,2015,Major trading partner 2 (% of exports),United States,38.9
Belize,2020,Major trading partner 2 (% of exports),United States,23.5
Belize,2010,Major trading partner 2 (% of imports),China,9.7
Belize,2015,Major trading partner 2 (% of imports),China,10.1
Belize,2020,Major trading partner 2 (% of imports),China,14.4
Belize,2015,Major trading partner 3 (% of exports),Ireland,4.6
Belize,2020,Major trading partner 3 (% of exports),Ireland,8.3
Belize,2010,Major trading partner 3 (% of imports),Mexico,10
Belize,2015,Major trading partner 3 (% of imports),Mexico,10.8
Belize,2020,Major trading partner 3 (% of imports),Mexico,13
Benin,2010,Major trading partner 1 (% of exports),Bangladesh,0.6
Benin,2015,Major trading partner 1 (% of exports),Bangladesh,7.4
Benin,2020,Major trading partner 1 (% of exports),Bangladesh,26.9
Benin,2010,Major trading partner 1 (% of imports),India,0.9
Benin,2015,Major trading partner 1 (% of imports),India,9.8
Benin,2020,Major trading partner 1 (% of imports),India,13.7
Benin,2010,Major trading partner 2 (% of exports),India,4.6
Benin,2015,Major trading partner 2 (% of exports),India,13
Benin,2020,Major trading partner 2 (% of exports),India,14.2
Benin,2010,Major trading partner 2 (% of imports),China,10.2
Benin,2015,Major trading partner 2 (% of imports),China,10.8
Benin,2020,Major trading partner 2 (% of imports),China,11.1
Benin,2010,Major trading partner 3 (% of exports),Viet Nam,2.1
Benin,2015,Major trading partner 3 (% of exports),Viet Nam,7.5
Benin,2020,Major trading partner 3 (% of exports),Viet Nam,10.4
Benin,2010,Major trading partner 3 (% of imports),Togo,7.9
Benin,2015,Major trading partner 3 (% of imports),Togo,8.5
Benin,2020,Major trading partner 3 (% of imports),Togo,10.9
Bermuda,2010,Major trading partner 1 (% of exports),United States,68.9
Bermuda,2015,Major trading partner 1 (% of exports),United States,80.8
Bermuda,2020,Major trading partner 1 (% of exports),United States,94.2
Bermuda,2010,Major trading partner 1 (% of imports),United States,71.7
Bermuda,2015,Major trading partner 1 (% of imports),United States,65.7
Bermuda,2020,Major trading partner 1 (% of imports),United States,69.9
Bermuda,2010,Major trading partner 2 (% of exports),United Kingdom,8.2
Bermuda,2015,Major trading partner 2 (% of exports),United Kingdom,12.1
Bermuda,2020,Major trading partner 2 (% of exports),United Kingdom,1.5
Bermuda,2010,Major trading partner 2 (% of imports),Canada,8
Bermuda,2015,Major trading partner 2 (% of imports),Canada,14.7
Bermuda,2020,Major trading partner 2 (% of imports),Canada,7.9
Bermuda,2010,Major trading partner 3 (% of exports),Germany,0.7
Bermuda,2015,Major trading partner 3 (% of exports),Germany,0.3
Bermuda,2020,Major trading partner 3 (% of exports),Germany,1.3
Bermuda,2010,Major trading partner 3 (% of imports),United Kingdom,3.7
Bermuda,2015,Major trading partner 3 (% of imports),United Kingdom,3.9
Bermuda,2020,Major trading partner 3 (% of imports),United Kingdom,5
Bhutan,2010,Major trading partner 1 (% of exports),India,82.4
Bhutan,2015,Major trading partner 1 (% of exports),India,71.9
Bhutan,2020,Major trading partner 1 (% of exports),India,94.1
Bhutan,2010,Major trading partner 1 (% of imports),India,75.1
Bhutan,2015,Major trading partner 1 (% of imports),India,72.7
Bhutan,2020,Major trading partner 1 (% of imports),India,76.4
Bhutan,2010,Major trading partner 2 (% of exports),Italy,0.1
Bhutan,2015,Major trading partner 2 (% of exports),Italy,1.4
Bhutan,2020,Major trading partner 2 (% of exports),Italy,2.7
Bhutan,2010,Major trading partner 2 (% of imports),France,0.5
Bhutan,2015,Major trading partner 2 (% of imports),France,0.1
Bhutan,2020,Major trading partner 2 (% of imports),France,9.7
Bhutan,2010,Major trading partner 3 (% of exports),Singapore,0.1
Bhutan,2015,Major trading partner 3 (% of exports),Singapore,0
Bhutan,2020,Major trading partner 3 (% of exports),Singapore,0.6
Bhutan,2010,Major trading partner 3 (% of imports),Thailand,2.5
Bhutan,2015,Major trading partner 3 (% of imports),Thailand,2.2
Bhutan,2020,Major trading partner 3 (% of imports),Thailand,4.8
Bolivia (Plurin. State of),2010,Major trading partner 1 (% of exports),Brazil,34.2
Bolivia (Plurin. State of),2015,Major trading partner 1 (% of exports),Brazil,27.5
Bolivia (Plurin. State of),2020,Major trading partner 1 (% of exports),Brazil,15.9
Bolivia (Plurin. State of),2010,Major trading partner 1 (% of imports),China,11.7
Bolivia (Plurin. State of),2015,Major trading partner 1 (% of imports),China,18.1
Bolivia (Plurin. State of),2020,Major trading partner 1 (% of imports),China,22.3
Bolivia (Plurin. State of),2010,Major trading partner 2 (% of exports),Argentina,8.2
Bolivia (Plurin. State of),2015,Major trading partner 2 (% of exports),Argentina,16.8
Bolivia (Plurin. State of),2020,Major trading partner 2 (% of exports),Argentina,14.6
Bolivia (Plurin. State of),2010,Major trading partner 2 (% of imports),Brazil,18
Bolivia (Plurin. State of),2015,Major trading partner 2 (% of imports),Brazil,16.4
Bolivia (Plurin. State of),2020,Major trading partner 2 (% of imports),Brazil,16.9
Bolivia (Plurin. State of),2010,Major trading partner 3 (% of exports),India,0.1
Bolivia (Plurin. State of),2015,Major trading partner 3 (% of exports),India,2.2
Bolivia (Plurin. State of),2020,Major trading partner 3 (% of exports),India,10.2
Bolivia (Plurin. State of),2010,Major trading partner 3 (% of imports),Argentina,12.7
Bolivia (Plurin. State of),2015,Major trading partner 3 (% of imports),Argentina,11.8
Bolivia (Plurin. State of),2020,Major trading partner 3 (% of imports),Argentina,10.1
Bosnia and Herzegovina,2010,Major trading partner 1 (% of exports),Germany,15.8
Bosnia and Herzegovina,2015,Major trading partner 1 (% of exports),Germany,16.7
Bosnia and Herzegovina,2020,Major trading partner 1 (% of exports),Germany,15.5
Bosnia and Herzegovina,2010,Major trading partner 1 (% of imports),Germany,10.5
Bosnia and Herzegovina,2015,Major trading partner 1 (% of imports),Germany,12.1
Bosnia and Herzegovina,2020,Major trading partner 1 (% of imports),Germany,12.3
Bosnia and Herzegovina,2010,Major trading partner 2 (% of exports),Croatia,15.3
Bosnia and Herzegovina,2015,Major trading partner 2 (% of exports),Croatia,10.5
Bosnia and Herzegovina,2020,Major trading partner 2 (% of exports),Croatia,12.9
